new_target,clean_translation
alawari-ẹgho,television
ale motori ro gba kpukpu ulesun,the friend or lover for whom i wear my beautiful head tie
alẹ,ground
alẹ-aja,earth
alẹọgua,disciples
alẹọgua,apostle
alẹbẹre,turbulent weather alẹpẹre ko kpa
alẹ-guọ,twilight or dusk
alẹọkọ,floor of a canoe
alẹọkọ-emí,core of the mind
alẹ-urọn,ailing
alẹ-urọn,poorly
alẹ-urọn,sick
alika,flies
alika-udẹ,golden flies
aligbagba,red earth used for smoothing mud houses
alikun,the smaller piece of the women two piece cloth
aliomi,underneath the water
aliomi,bottom
aliọkọinọ,conscience
aliọkọinọ,the innermost part of mind
dí ọşe alọ,demand special attention
alọgua,attendant
alukpẹrẹ,he goat
ama,clay used for sculpture and moulding pots and jars
ama,superstitious
ama,put a ted to charm
amajẹ,idol both wooden and moulded
amaran,black clothes worn for mourning
amakaşe,angel of the lord
amẹ-ẹwọ,palmer creases
sign,sign or mark
mo sin amẹn ni,i have placed my mark on it
amẹn-oriṣe,mole
amieṣen,footprints
amima tioma ẹgbon,the weed that sticks to he goat
amimẹ,lightening
amimẹ,something flashy
eju- ọjọ da-amimẹ,there was lightening
amiokun-ọnẹ,praying martis
amọran,a person who assumes to know much such person is usually described amọran ma wa ukpe
amọọre,cheers
amọọre,shout of applause
ana-ọbọnmanju,a day after the market
aninọ,mercy
aninọ,passion
anọ,shame
anọkan-dugbo,solitude
anọmumu,shame
anọmumu,disgrace
apian,sail
apian,used for navigation
apianpian,a bird
ara-ẹnẹ,one own self
arami,myself
arami,my body
arali,wall of a building
aramumuni,a state of mourning
aran,intestinal worm
ararirọ,sad
ararirọ,depressed
aratita,pride
aratita,arrogance
aratutun,peaceful
arayiọn,happiness
arayiọn,happy
araghan,themselves
arariri,disgust
arema,innocence
arema,unintentional
arema,accidental
arene,deprive
arene,dispossess
arenẹ-aruka,numerous
arenẹ-aruka,several
arẹẹn,an obsolete metal object for shaving
aribara,porch
aribara,veranda
arìgala,protector
arìkpẹ,red earth
ariran,wood work for partitioning and supporting width of a canoe
arira,ants
ọ tọn arọ,short stories
arugha,to be contentment
aruka,count
aruka,number
aruka,quantity
arun,mouth as in part of the body
arun-aja,the mouth piece or spokesperson of a town
arun-ẹyan,nipple as in part of the breast
arun-ọyẹ,goose flesh
arun-omi dede jọ,the people have gathered
asakpa,walnut
asere-urunọbọn,a preparatory day to the market day
asikọ,hiccup
ọ sọ mi asọ ukpẹn,scornful words spoken in relation to another destiny
asungbowola,one who sleeps a lot
ata,alligator pepper
ataan,plantain
atako,heavy thorn club
atan,shoal
atan,sandbank
ereatagbe,an association without fun
atẹ,shelve for displaying wares
atiẹsẹn,human sole of the foot
atìẹwọ,palm of the human hand
atìtan,refuse dump
atitẹ,locally made tray from bush cane
atìmakasa,antimacassar designed clothing for covering gift items
atọ,semen
atọ,sperm
atu,grassland
atukọ,revision
atukọ,to revise
awanran,weather condition
awara,jellyfish
awawa,tree harack
awawa,an animal
awe,dragnet
awe,a fishing gear
aweleyi,solitude
awẹ obi,cotyledon of a kolanut
awẹrẹwẹrẹ,chase evil spirits
ayaa me,mistress
aya,write
ayade,local lancet
ayade,flintknife
ayami,my wife
ayama,fish fencing to trap baits/fish
aya-ọlọkọ,a married woman
aya-oma,house wife
aya-sisin,ex-wife
ayẹ ma laju di ogbẹn ẹkpo,abundant kindness may become a burden
mee nẹ ayẹ,i am not available
ayini,handcuff
ayinmu,thinker
ee ti ayinọ-ro wa,not done willingly
ayiri,to praise
ayiya,centipede
ayọọ,to pull
ayọ,wire
ayọ,string
ayọba,king wife
ayọkpẹ,wire like fibres from raphia palms
ayọn,enjoy
ayọnfọ,persuasive
ayọnfọ,convincing words as in sweet words
ayọnrun,sweetness
ayọnrun,pleasures of life as in living an extravagant lifestyle
ayọ-ọtọn,daughter in law
ayughẹ,sluggard
aşaghaşa,ruffled feather found in some fowls
aşaka,stinging ant
gba aşan gbẹ,to whip
aşeginregin,stick insect
aşeghan,public observation
aşejuẹri,an ambassador
aşemeji,double dealing
aşeti-uliwa,homework
mo gba aşe,i have the authority
aşigidi,idol
aşigidi,image carved or moulded
aşişan,umbrella
aşişaşọ,rags
aşọ,cloth
aşọegungun,butterflies
agha,fish
aghaa,plane as in wood
aghan,they
aghan,those
aghan,you all as in group of people
aghan-do,greeting to all as in collective greetings to a group of people
aghara,decoration
aghara,to beautify
agharo,seacrab
aghẹrẹghẹrẹ,iguana
aghẹrẹghẹrẹ,crocodile family
aghighọ,guitar ray fish
aghọ,colour
aghọfẹn,a palace
akpa,a fool
akpara,thunder
akpadiden,insect bats
akpakpa şi di a ma ọlẹ gua,it is in the harm at tan season true beauty is recognised
akpakpasimaga,scorpion
akpalakpa,juju ascribed to the people of abigborodo
akpalẹ,neighbourhood
akpalẹ,surrounding
akpaluse,a sitting stool
akpamaku,unbreakables
akpamaku-ikarasin,container for parrafin
akpasa,sackcloth
akpasa,raphia woven cloth
akpata,trumpet
akpata,harp
akpatẹ,a male business guru
akpatẹ onọbiẹn,a female business guru
akpagbo,monkey nuts
akpagbo,unshelled ground nut
akpebuwanjẹ,tongue twister
akpẹn,portion
akpẹn,partner
akpẹn,divide
akpẹn,share
akpẹkpẹ,an alter for sacrifices
akpẹligboşbite,seventh generation
akpẹrẹ,basket
akpofi,one who suffers from yaws
akpomajẹ,metal storage basin with cover
akpuja,appellation
agba,elder
agbadidi,small drum played under the arm
agbagba-inọ,spleen
agbagba,cross
iposi wi agbafua,the cat is in the ceiling
agbagi,slasher for weeding
agbagi,flat iron
agbala,large clay pot for cooking potash
agbakara,crocodile
agbali,one who sweeps
agbamudu,strong
agbamudu,courageous
agbanlẹ,lower jaw of human
agbanringban,horsefly
agbekana,soup from previous day
agbiwariwa,madness
agbibara-uwangue,used idiomatically for a mad person
agbeniọnẹara,calumny
ọla-agbẹdẹ,a mechanic
agbẹdẹ-owunaja,literature
agbẹẹrẹn,pepper fruit
agbẹsẹn-gbirọn,wanderer
agbẹsẹn-gbirọn,nomad
agbigbẹn,speck
agbigbẹn,small piece of dust
agbiowum,microphone
agbighogho,open teeth
agbighogho,diastesis
agbighogho,either central or elsewhere
agbibẹẹn rẹ da mi,been longing to see you
agbirangban,goatee bearded person
agbo,herbal mix for medicinal purpose
agbo,treatment for malaria
agbọn,postnatal discharge
agbọfọfọ,an interpreter
agbọfọrẹn,rumour monger
agbọfọrẹn,tale bearer
agbọnẹmọna,a pilot
agbudufie,snappers fish
agbuke,hunched back
kpẹn wun agbura mẹẹrẹn,split in four pieces
mo ba,i met him
ra baa,i met him
baba mi,my father
wo ka babara aya rẹ ni inọ ma bi,you should caress your wife when she is angry
datu baari ọfọ we,repeat your words
uku baare,i reject death
ọfọ we bajẹ,the discussion is ruined
bala omi we,scoop the water
bala-bala,dawn of the morning
osunsun balakpata ni ukpo,he is lying supine on the bed
bangoro,bangle worn around the wrist
jedi a bara ni ẹju ma,let us meet tomorrow
barabara,superficial
basẹn,fashionable
uṣe ro ee bejuju,his behaviour is not appropriate
bejukpa,appropriate
bejukpa,something right in one sight used interchangeably with bejujọ
bejuto ara rẹ,take care of yourself
bẹ,shine
ma bẹbẹrẹ arun  gin gẹrẹ,do not make crooked statements be honest
bẹẹ,beg
bẹẹlẹ,to cut transversely
bẹẹ-rọnrọn,sparkle
bẹkẹbẹkẹ,unstable
bẹkẹbẹkẹ,wobbly
bẹlẹbẹlẹ,can a lilyleaf
bẹlẹkẹbẹlẹkẹ,indecisive
bẹlẹkẹbẹlẹkẹ,dilly dally
bẹẹrẹbẹrẹ,close range
bẹẹrẹbẹrẹ,hairs breadth
bẹẹrẹẹ,severally
bẹẹru,fear
bẹwa-bẹrẹ,meander
bẹwa-bẹrẹ,ramble
mo bi ogho mi,i demand my money
bima ara,shift as in come closer
o biọma ọnọkẹnrẹn,she gave birth to a baby boy
ọlẹsẹn tio bian,bent legs as in knock knees
mo biara,i gave way
bibiyẹyẹ,common
jẹdi omi we sẹ bilọbilọ,let the water be lukewarm
bile,sitconspicuously
mo gba ide bini orusun,i exchanged crayfish for yam
de mi bi ẹkun we ni?,close it
binọ,open
biobio,moist
ọsa biri ore,father and mother
emi biro wa re,i will go with him
eju ọjọ de birikiti,he is clothed gorgeously
biribiri,missiles
birọ ke,ask now
urun dede yidẹ birọlaghawe,presently things have changed
eju mi ka şe bisibisi,his eyes were dim
bo,peel
bobo,distance
bobo-okun,scallop sea shell
bobo-okun,clam
mo bẹ ara mi boboro,i scratched myself and peeled off my skin
bogidijẹ,variety of places
bokọ,how do you do
bokubo ee dọn mi,it hurts no where
ara mi dede tun bolo,i at peace with myself
bọaragbe,disengage
mo bọghọ udangho,i passed my exam
ẹja we bọghọ-ọsa,the fish is stale
mẹnẹ  meji bọlọlọ,one plus two is much
bọmọ,flog
bọmọ,beat
bọọ,cover
bọọ,cut
bọọ,disconnect
ọşibu bọrọbọrọ,he fell flat on the floor
bọrọọ,rub
bọsi,drop down
bọsi,cross over
bu,cut
buu,abuse
buu,curse
bu-aşọ-gbe,the act of a cock wooing the hen
buburu,misconduct
bujẹ,bite
bulara,pride
bule,en masse
bule,all together
buru,rascal
buru,rascally
buru-ẹgua,ugly
buru-ejorun,restless while sleeping
burukun,wickedness
burukun,defective
da omi nọ,pour out water
mo fẹ da irọn mi,i want to cut my hair
enẹ da utọn rẹn le,we went across the stream
o da ni ujere,he was defeated in the fight
daan,random
ojẹ mimi dadagin o rita se,he eats raw food how much more the cooked ones
daẹnẹju,aware
daẹnẹju,sure
damieju,aware
damieju,sure
daju,insult
dakun,kneel down
ọmẹren ghan ka dakpara,these youths misbehaved
damasoko,damask cloth
dan,mix shuffle
an rin dandan wen şe,he firm stood his grounds rebuking others
dandandan,firmly
dandandan,superlative degree of dandan
dani,hold
dagbodagbo,epidemic
dawadare,dilly-dally
de mi,wait for me
de ololo we,cover the bottle
de-ara,defend
de-ara,protect
aghan dede,all of us
mo degin ni gba fọfọ we,with humility i say these words
deghedeghe,atmosphere
deghedeghe,suspension
deghere,distinctly
deghere,conspicuous
dekpa,sealed
wo fẹ delemọ?,do you want to commit murder
egbele tio deọba,the brooding hen
a dero dede lọ rẹn,the plan has been concluded
deọkpa,decoy
deọkpa,trap
deọkpa,trick
deọkpa,entice
me tete desinrin,i could not recognize him immediately
wa da re ra dẹ,let go fishing
dẹẹn,fry
dẹbo,probe
dẹbu,bend down
dẹde,capsized
dẹde,upside down
dẹdọn,worry
dẹdọn,panicky
dẹẹle,follow secretly
egin dẹfi ọna,a tree has fallen across the road
wo ka dẹkọ gbẹ ẹ,you have to
dẹle,tip toe
o ro aşọ to dẹn,she or he has a red clothing
ẹyẹn we dẹn rẹn,the palm bunch is ripe or mature
dẹndẹn,slowly
a dẹre gbẹ mi,i ve been acquitted
dẹreke,but
dẹreke,however
dẹreke,conversely
dẹrekede,but
dẹrekede,however
bẹmi dẹre ilọlimi,please watch over my house
dẹşẹ,sin
oka dẹsi gbagidijẹ,he revolved several times
dẹtukẹtukẹ,prawl
dẹtukẹtukẹ,lie in waiting
dibo,secret vote
dibo,cast lot
didẹn,red
digara,insult
din ma ara,tie together
din ololo ekpo we,cover the palm oil bottle
dinẹwọ,miserly
dinma,embrace
dinma,hug
a gba arun şişan dinoko re ọbọn,you can not place an order by word of mouth only
din-agban,foodstuff tied to plants with the belief that the plant will produce abundantly
dira tiẹnẹ gba bara,tell me what time we are meeting
ditẹn,deride
ditẹn,scoff
ọfọ rẹn ka dinwondin,he was dumbfounded by what he heard
afika dosin,the eagle flew to the left
uku ee dọjọ,death keeps no appointment
mo dọkpe ayẹ,i am grateful for your kindness
dọlọ,money
dọlọ,mostly applicable to coins
ubo dọn ekeregbe,the goat is in
uwangue ee dọn ọjẹ we,no sufficient salt in the food
dọran,lay blame on
dọran,accuse of
dọtọn,rightward movement
ma dubẹru sin mi,do not frighten me
dubodubo,grapevine
ee-ba,did not meet it
ebi kpami,i am hungry
ebinọ,anger
ebinọ,annoyance
ebirẹn-okpo,widow
ebisini,bangles
eboribo,cloud
ebubu,abuse
ebubu,curse
ede rẹn! eyi urun,what a surprise unbelievable
edenioyibo,an exclamation literally what has happened in the whiteman land
edin a mu ẹ,let the edin cause you blindness
efi,coal
efin,material from raphia fonds for weaving mats
efirị,plant ocimum virides
efo tiọla  gbe ilọlimi gbẹ,the flood of yesterday carried away my house
ọtọn mi gba efun,my daughter is pregnant
egidijẹ,xylopia spp cooking spice
egin,tree
egin,woods
egin-ara,body frame work
egin-ara,stature or built
egin-ẹyiyi,camwood
eginjijẹ,chewing stick
egin-ikpẹkpẹ,shrub at river coast or bank
egin-ọlegin,an idiot
eguere,blood relationship generally
egue,ailment related to a pregnant woman and believed to affect other members of the family especially children
eguiguo,pieces
eguiguo,crumbs
egungun,a fairyor evil spirit
ti ẹsẹ ti eguo,both young and old
ejeni,engine
ejiko,long woven mat usually folded in two
ejikoto,body cream
eju-ofi,athlete foot
ejorun kọn mi,i feel sleepy
ejunini,bold
ejunini,boldness
eju-okan,same
eju-okan,identical
eju,eye
ebirẹn aghan ka fẹ ejuayẹ ọkọ?,women seeking husbands favour
diobi ka kpa ọle ejufi,there is no food for the idle
ejukoko,willful
ejukoko,strog headed
ejukokoro,extremely greedy
eju-gbada,ashamed
eju-gbada,abashed
eju-gbada,bare faces
ejugho-ejuşe,out of benevolence
ejuliuwa mo kele lẹfun,i am from a wealthy lineage
ejuma,tomorrow
ejumọtạn,queen ant
eju-oghori,abnormal
ejuogho,cowries
ejuọjọ o wun a şọn gba de ipanama,it is the weather that dictates the hat one wears
ejunini,callous
ejunini,emotionally hardened see
ejurirọ,softness
ejurirọ,compassionate
ejuriri,prophesy
ejutita,bad mood
ejutita,feeling of hurt pique
ejuwẹrẹ,same type
eju-ghereke,squint
eju-kpikpo,oppression
eju-kpikpo,tyranny
eju-kpikpo,cruelty
eju-gbigbo,bold
eju-gbigbo,audacious
ejukiko,drowsiness
ejukiko,dizziness
me fẹ eke,i do not like to quarrel
ekere,sail
eko akana rẹ şe egua ro,it is the nodes of the sugarcane that make it beautiful
eko-ẹwọ,wrist
eko-ẹsẹn,ankle
ekoro,medium size
ekuara ogolo owun wo so,the produce of the pepper plant is determined by its stature
ekun,false
ekunkubọ,excess
ekutele,rat
elebẹ,black small fish seen around september
eleko-ira,period of time
elilọọbẹ,the soup spices
emi,myself
emi-mama,regret
emi-mama,remorse
eni,elephant
ọtọn mi şe ere ju,my child play too much
ere ma laju dio gbẹn ẹkpo,too much profit can tear the pocket
eregbe,raphia palm fruits
ere-ọlẹgua,colourful woven bulrush with designs
erebeni,ribbon 
ere-alẹ,good evening
ere-ọbọn,welcome from the market
ere-ọsọn,good afternoon
ere-ọwurọ,good morning
eri,dew
erirl,dirt
e-rin,elephant
ọbite ero,water font for ferring passengers
erogho,mud
erubogun,ashes
erubọ,welcome
eruku omi,muddy water
esan,bad
esan-sisan,very bad
esan-sisan,abysmal
ee-yo,response to an appellation or apuja
ese,manatee
ese,sea cow
esin,pig
esin-ọkẹnrẹn,boar
esin-ọbịrẹn,sow
esin-ọya,hog
esin-ọşẹrẹ-ọkẹnrẹn,boar
esin-ọşẹrẹ-ọbịrẹn,gilt
esin-ogbin,barrener
esin-ti-ogun,service
esin-ti-ogbefun,in pig
esin-ti-orọbi,farrowing
esin-ọtọn,piglet both male and female
esin-ọşọn,pork
eso-egin,fruit or seed of a plant
esoko,fruits from raphia palms
esoko,both poisonous and edible type
esughu,coral beads
esusu,eroded heap of floating vegetation
esugbe,squirrel
etin,ear
etin-arun,boast
etin-arun,brag
etin-eri,river side
etin-eri,river bank
apprise ,apprise
etin-ẹyin mo şe gbẹrẹ we,this is to apprise you
eturẹ,worthless
eturẹ,substandard
etun-ọjọ,cool weather
ewe yiee ye mi,i do not understand this method
ewe-ọfọ,example
ewe-ọfọ,explanatory words
ewekewe,variety of methods
mo ba birieworiwo,i met him naked
ewuru,silver bangles
eyiwe wumi ju ẹrẹn,i prefer to the other
eşe,ancestral worship
eşe,ritual for unholiness
eşu,devil
eşin,pawpaw
eghaghigha,unavailable
eghemẹ,jaw
ekpe,curse
ekpetin,box
ekpikpo,bark
ekpikpo,skin
ekpiyẹ,fish tilapia spp
ekpo,palm oil
bark ,bark of a tree
ekpikpo or ekpukpo-araro sengua,the skin is fine
egbe ẹja won ra,she or he bought a rotten fish
egbegbe,neighborhood
egbegbe,surrounding
aghanbọpọ ka jẹ ẹgbẹje ro,some of you are acquiescent
aghan dede ka jẹ egbejẹ,all of them concurred or agreed
egbeke,shoulder
egbekẹtu,captain manning each row of paddlers
egbele-ọkẹnrẹn,cock
egbele-ọbịrẹn,hen
egbele-ọsẹrẹ,cockerel
egbele-ọsẹrẹ,pullet
egbele-ti-ogun,mating
egbele-ti-oyẹn,in lay
egbele-ti-o-ode,brooding
egbele-ọsọn,poultry
egbele-ọsọn,chicken
egbele-orişe,raven
egbe-eyiwe,type
egburu,eight yards wrapper sown four yards up and four yards down
ẹbalẹ,priestess who purify homes
ẹja kọn ẹbe,the pond is full fish
ẹbẹ,porridge
ẹbi,family lineage
ẹbo,woven sack
ẹbobo,surprise
ẹbobo,exclamation
ẹbori,headache
ẹbọ,sacrifice
ẹbọlẹbọ,almond tree or seed
una ẹbu owun a gba sọn ẹwo,special fire for baking moulded clay pots
owi ẹbu ole ghan,he is among the thieves
ẹbubu-usin,starch segment
ẹbuşenọ,thankless
ẹbuşenọ,ingrate
ẹda,re-incarnate
aghan şe ẹde ju,you keep so much secret
ẹdeju,harm
ẹdeju,havoc
ẹdegberọkọ,dereliction
ẹdẹ tia ruu uşẹ ira ubeji,the ubeji people are experts in fish fencing
ẹdẹn,type of salt water fish
ẹdẹnma,gentleman
ẹdẹrẹgua,eczema
ẹdẹrẹgua,freckle
ẹdigbuku,accident
ẹdigbuku,sudden
ẹdigbuku,emergency
ẹdodo,curlew bird
ẹdogho,peer appropriate joke deemed expensive
ẹdọn,chest
ẹdọn-dida,fearful
ẹdọn-dida,fright
ẹdọnfiele-fiele,panicking
ẹdọnkirimẹ,fearless
ẹdọnkirimẹ,courageous
ẹdọn-ọsa,point where both ebbing and full tide meet
ẹdukuli,backyard
ẹfa,sixth ordinal number
ẹfan,hard back
ẹfan-ekpede,arrow made from hard raphia palm frond
ẹfifo,empty
ẹfo,empty
ẹfofo,emptiness
ẹfooro,secret
ẹfọ,vegetables
ẹfun,white chalk
ẹfun,kaolin
ẹfufu,cockade
ẹfufu,feather worn on a hat-plume
ẹgan,the magical scepter through which ode-itsekiri was founded
ẹge,well
ẹgedege,storey building
ẹgege,a spot clearly designated with baits to attract fishes
ẹgele,pellets or bullets
ẹgerifo,door post
ẹgerifo,front entrance to home
ẹgo,vagina
ẹgodi,hawk
ẹgogo,a specie of tree whose bark is bitter
ẹgogo,used as a chewing stick
ẹgua,beauty
ẹguadẹn-ọrẹn,seventy
ẹguale,snakes
ẹguede,needle
ẹguen,a dance peculiar to the use le people
ẹgungun,alligator
ẹguọ,teenager
ẹgusa,half sibling
ẹja,fish
ẹje,sea shell
ẹje,conch
ẹjẹn,blood
ẹjẹn,
ẹji,teeth
ẹjoji,stranger
ẹjoji,visitor
ẹjolo,a family of lobster
ẹjo,case
ẹjo,dispute
ẹjogbi-gba,case judgement
ẹjuofi,scars left after yaws attack
ẹkede,a day set aside for ancestral worship
ẹkelu,wrestling in water
ọlu wi ẹkete,the king is on the throne
ẹkere,frog
ẹke,side
ẹkẹnrẹn,male
ẹkẹnrẹn,masculine
wo ka kani ẹkiko ọna kele bogho,walk by the side of the road
ẹkobi,a conical shaped fishing gear
ẹkoko,buttocks of human
ẹkoko-ọfọ,important matter
ẹkokoro,wasp
ẹkoro,hat
ẹkoro,cap
ẹkọ,teach
ẹku,hamlet
ẹkufi,dilemma
ẹkufi,debacle
ẹkunkubo,surplus
ẹkun,door
ẹkun,shutter
ẹle,betting
ẹlẹdion,bet
ẹleku,a specie of tree used in building works
ẹlete,hubris
ẹlete,over bearing pride
ẹlolo,lagoon
ẹligbo,elderly
ẹligbo,aged
ẹligboe-eri,drizzling
ẹligboe-eri,that the aged can not see
ẹlu re jẹẹlu  lẹlẹjiọma-alọ,ẹlu is ẹlu while leleju is a pet cloth
ẹluju,grassland
ẹlugbogbo,cudgel
ẹlugbogbo,sledge
ẹmi,soul
ẹmififen,holy spirit
ẹmifirifiri,aroma
ẹmi-ọkan,a person at the point of death
ẹmu,arrests
ẹmumuna,fire fly
ẹnẹ,we pl
ẹni,mat
ẹpele,draught
ẹpuru,food type made from cooking yam and pepper soup together
ẹran,animal
ẹran,meat
ẹran-oko,bush meat
ẹran-ọsẹn,domesticated animals
ẹranrìro,contempt
ẹranrìro,disdain
ẹre,atmosphere
ẹrede,suspend
ẹrefan,uncircumcised
ẹrema,a nursing mother
ẹrẹ,sin
ẹrẹghẹn,sacrilege
mo fẹ ẹrẹn we,i want that one
ẹrẹnbo,camouflage
wa da re ẹri,let us go fishing in the river
ẹrie,escape route
ẹrifo,door post
ẹrifo,gate
wave ,wave
ẹrịjijarin ọkọ ni ugborodo,the wave capsized a boat at ugborodo
uku tio kpa ẹja wi ale-omi  ẹrịko gba ọsa niodo,what kills the fish is under the water while the float is on top
ẹrin,laughter
ẹrin ọghọ nigeria,nigerian national anthem
ẹrin-oro,dirge
ẹrin-oro,funeral song
ọro ju ẹriro,it is bitter than bile
ẹro,boast
ẹro,vaunt
ma gba mi gba ẹrogbo,do not play pranks with me
ẹrọn,kernel
ẹru,slave
ẹrubiba,fear
ẹrun,load
ẹrun-run,dry season
ẹrun-una dudun,black ashes or charcoal
ẹsete,plates
ẹsẹri,mat woven from raphia materials
ẹsẹn,leg or foot
ẹsẹn-efa,insects
ẹsẹn-ẹjọ,arachnid
ẹsẹn-ayẹ,fortune
ẹsẹn-ayẹ,good luck
ẹsẹn-uli,address
ẹsẹn-uli,abode
ẹsi,order
ẹsi,law
ẹsi,policy
ẹsimogo,a shrub whose leaves are used for pepper soup
ẹsingba,rhizophora racemosa
ẹsin,destiny
ẹsin-ugbo,an island in the midst of swamp along the river
ẹsọ,iron tripod cooking stand
ẹsu,bone
ẹsu-iyara,rib bones
ẹtan,animal
ẹteşe,mask or head dress
ẹtẹ,disgrace
ẹtin,support
ẹtoni,plant spp used for okere juju whip
ẹtu,antelope
ẹwayẹ,access
imila oba ma bi meeji ẹwero oba re wọ,it is the oba luck if his cow farrows a twin
ẹwẹlẹ,side
ẹwima,palm leaves
ẹwo,local clay pot
ẹworuli,salt
ẹwosin,left hand
ẹwọ,hand
ẹwọ,once
ẹwọ,one strike
ẹwọtọ,right hand
ẹwọ,one that brings fortune
ẹwu,shirts or blouses
ẹwu-ẹmi,a typical itsekirishirt
ẹwuru-go,a pet name for female folk
ẹya,grand child
ẹyan,breast
ẹye,world
ẹye-bolo,paradise
ẹye-bolo,peaceful life
ẹyere,brain additive
ẹyẹ,palm fruits
ẹyidẹ,embrocation see oriegin
ẹyinbisorosi,spigelia spp
back ,back
eju ee ri ẹyin,the eyes can not see the back
ẹyin-ẹ,end of life
ẹyiyi,camwood
ẹyo,draught
ẹşẹ,sin
ẹşẹ,abomination
ẹşi,horse
ẹşi-so,sack
ẹşonro,long spear
ẹgha,raphia frond use in fencing
ẹghan,pillar mostly used as substitutes for foundation
ẹgharegbe,light skinned complexion
ẹgharẹ,ancestor 
special,special day
ọjọkan re ṣe ẹgharẹ -ọjọ,there is usually a special day
ẹghẹn,eggs
ẹghẹn-una,amber part of fire
ẹghẹrigho,smoke
ẹghẹ,favorite wife
ẹghighọ,sacrilegious
ẹgho,the horn of an animal
ẹghologbin,empty shell
quarters ,quarters
ikẹnẹ kun ẹghoro rẹn,each person belongs to a quarter
ẹghoro-muọgọ,problematic
ẹghọ,hooks
ẹkpa,antidote
ẹkpalẹ,vicinity
ẹkpan,testicle
ẹkpe,burden
ẹkpẹ,blister
ẹkpetin,box or boxes
ẹkpẹ,large clay pot with a wide opening for storing water
ẹkpẹ,tiger
ẹkpẹtu,trouble
ẹkipkpomẹ,trouble
ẹkipkpomẹ,difficulty
ẹkpo,pocket
ẹkpo,bag
ẹkpo,haversack
ẹkpokpo,empty
ẹkporo,ramshackle
ẹgba,evil
ẹgbede,needle
şọn ẹgbegbe ghan,look at the surrounding
ẹgbele-meji,middle
ẹgbele-meji,central
ẹgbelemeeji-egua,balanced
ẹgbelemeeji-egua,medium
ẹgbẹ,stroke of luck
ẹgbẹ,sore
ẹgbẹ,rabbit
ẹgbigben,longed for
ẹgbighogho,open teeth
ẹgboro,echo
ẹgbura,percentage
